work_qid,max,count,median
Q723020,2,5,2.0
Q212718,13,4,9.0
Q223784,14,10,8.0
Q28306,15,21,7.0
Q1764445,15,5,9.0
Q431927,13,2,12.5
Q4691072,13,1,13.0
Q30668227,10,1,10.0
Q3535595,15,8,9.5
Q430514,14,2,12.0
Q487364,15,4,10.5
Q3231336,12,1,12.0
Q3209152,17,3,16.0
Q5036850,16,1,16.0
Q282814,14,16,8.0
Q741013,7,12,4.0
Q534975,15,3,15.0
Q2737699,14,7,12.0
Q2746500,15,1,15.0
Q828031,6,19,2.0
Q2652159,15,3,15.0
Q1050014,12,11,8.0
Q932592,13,11,6.0
Q1641639,13,10,12.0
Q401619,15,23,7.0
Q19263643,6,1,6.0
Q1212160,9,4,8.5
Q100773938,9,1,9.0
Q47598,2,14,1.0
Q437353,14,20,8.0
Q602288,2,16,1.0
Q1010653,14,11,9.0
Q1474920,14,10,9.5
Q756866,13,5,8.0
Q579744,16,1,16.0
Q6353404,15,9,10.0
Q6426705,15,8,12.5
Q721,14,8,11.5
Q957123,10,7,7.0
Q16204596,15,2,11.5
Q99838669,14,9,11.0
Q3208081,12,6,10.5
Q459303,14,8,12.5
Q742226,4,8,1.0
Q99434216,9,1,9.0
Q783533,15,9,13.0
Q4398917,15,4,8.5
Q737910,7,22,1.0
Q2283166,14,6,13.0
Q7306263,15,1,15.0
Q19902777,12,4,6.0
Q2915291,14,3,11.0
Q2915310,11,3,9.0
Q2915295,15,4,14.0
Q17105829,13,4,5.0
Q265954,10,16,6.0
Q56418944,8,1,8.0
Q2319431,15,3,9.0
Q4354234,15,16,6.0
Q20645702,15,1,15.0
Q23763106,16,2,10.5
Q17512402,7,5,6.0
Q19363462,16,6,6.5
Q3221113,14,7,11.0
Q95075560,9,1,9.0
Q4424499,10,1,10.0
Q466790,9,17,5.0
Q1219119,15,4,14.0
Q1541914,14,14,9.0
Q1541914,8,1,8.0
Q14548336,12,10,6.5
Q56277009,12,2,12.0
Q1199882,14,8,7.0
Q7756730,9,1,9.0
Q1758811,14,12,8.0
Q4340237,15,4,13.0
Q1140295,15,5,7.0
Q440784,8,6,6.5
Q7761643,15,1,15.0
Q897685,14,8,11.0
Q472368,15,4,13.0
Q7767840,9,1,9.0
Q60786692,14,11,9.0
Q471142,1,5,1.0
Q27957817,16,18,5.0
Q1193680,15,6,11.0
Q20720831,16,1,16.0
Q4352956,15,2,11.5
Q603645,14,6,5.5
Q2870228,15,4,13.5
Q2870228,12,1,12.0
Q435722,4,5,4.0
Q897105,15,2,14.5
Q2377147,15,2,12.0
Q17066538,16,1,16.0
